usuario,hotel_recomendado,hotel_consumido,propiedad,example_similarity_score,mean_example_similarity,k_nearest_example_strength,example_coverage,example_consensus_score,example_disagreement_score,example_density_global,is_most_similar,is_least_similar,prototype_similarity,cosine_similarity,shared_attribute_count,shared_category_count,shared_location_count,category_alignment_score,path_count,path_length,weighted_kps,explanation_type_diversity,attribute_diversity_recommended,cross_explanation_diversity
3,2972,2513,,0.2,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0.019753086419753086,1,0,0.0,0.3402069087198859,5,3,0,0.5555555555555556,5,2,7.8,3,10,2.25
3,2972,457,,0.16,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0.019753086419753086,0,0,0.16,0.2842676218074806,4,3,0,0.5555555555555556,4,2,6.3,2,10,2.25
3,3069,1783,,0.02702702702702703,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0.008888888888888889,0,1,0.0,0.05976143046671968,1,0,0,0.0,1,2,0.3,1,10,1.0
3,3069,1941,,0.047619047619047616,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0.008888888888888889,0,0,0.0,0.09128709291752768,1,0,0,0.0,1,2,0.3,1,10,1.0
3,3069,2513,,0.047619047619047616,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0.008888888888888889,0,0,0.0,0.09128709291752768,1,0,0,0.0,1,2,0.3,1,10,1.0
3,3069,457,,0.05,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0.008888888888888889,1,0,0.05,0.09534625892455924,1,0,0,0.0,1,2,0.3,1,10,1.0
3,3119,1783,,0.05555555555555555,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0.007662835249042146,0,0,0.0,0.10527936095153946,3,0,0,0.2,3,2,2.3,2,10,2.0
3,3119,1941,,0.10810810810810811,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0.007662835249042146,1,0,0.0,0.214422506967559,4,1,0,0.2,4,2,4.3,3,10,2.0
3,3119,2513,,0.05128205128205128,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0.007662835249042146,0,0,0.0,0.1072112534837795,2,0,0,0.2,2,2,1.8,2,10,2.0
3,3119,457,,0.02564102564102564,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0.007662835249042146,0,1,0.02564102564102564,0.05598925109558543,1,0,0,0.2,1,2,0.3,1,10,2.0
3,3136,1783,,0.13157894736842105,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0.013333333333333334,1,0,0.0,0.24397501823713327,5,2,0,0.5,5,2,6.3,3,10,1.75
3,3136,1941,,0.038461538461538464,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0.013333333333333334,0,1,0.0,0.07453559924999299,1,0,0,0.5,1,2,0.3,1,10,1.75
3,3136,2513,,0.08,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0.013333333333333334,0,0,0.0,0.14907119849998599,2,0,0,0.5,2,2,1.8,2,10,1.75
3,3136,457,,0.04,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0.013333333333333334,0,0,0.04,0.0778498944161523,1,0,0,0.5,1,2,0.3,1,10,1.75
3,3165,1783,,0.11627906976744186,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0.013333333333333332,0,0,0.0,0.21128856368212912,5,1,0,0.6666666666666666,5,2,5.3,3,10,2.0
3,3165,1941,,0.18518518518518517,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0.013333333333333332,1,0,0.0,0.3227486121839514,5,1,0,0.6666666666666666,5,2,5.3,3,10,2.0
3,3165,2513,,0.03225806451612903,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0.013333333333333332,0,1,0.0,0.06454972243679027,1,0,0,0.6666666666666666,1,2,0.3,1,10,2.0
3,3165,457,,0.03333333333333333,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0.013333333333333332,0,0,0.03333333333333333,0.06741998624632421,1,0,0,0.6666666666666666,1,2,0.3,1,10,2.0
3,3178,1783,,0.08823529411764706,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0.027160493827160497,0,1,0.0,0.1889822365046136,3,0,2,0.0,3,2,5.8,3,9,2.75
3,3178,1941,,0.10526315789473684,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0.027160493827160497,0,0,0.0,0.19245008972987526,2,0,1,0.0,2,2,2.8,2,9,2.75
3,3178,2513,,0.16666666666666666,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0.027160493827160497,0,0,0.0,0.28867513459481287,3,0,2,0.0,3,2,5.8,3,9,2.75
3,3178,457,,0.17647058823529413,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0.027160493827160497,1,0,0.17647058823529413,0.30151134457776363,3,0,2,0.0,3,2,5.8,3,9,2.75
3,3209,1783,,0.16666666666666666,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0.028571428571428574,0,0,0.0,0.30304576336566325,6,1,2,0.25,6,2,9.8,5,10,4.25
3,3209,1941,,0.13043478260869565,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0.028571428571428574,0,1,0.0,0.23145502494313788,3,0,1,0.25,3,2,3.8,3,10,4.25
3,3209,2513,,0.23809523809523808,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0.028571428571428574,1,0,0.0,0.3857583749052298,5,1,2,0.25,5,2,9.3,5,10,4.25
3,3209,457,,0.19047619047619047,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0.028571428571428574,0,0,0.19047619047619047,0.3223291856101521,4,1,2,0.25,4,2,7.8,4,10,4.25
3,3237,1783,,0.13157894736842105,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0.028148148148148148,0,1,0.0,0.24397501823713327,5,0,3,0.4,5,2,7.8,5,10,4.75
3,3237,1941,,0.17391304347826086,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0.028148148148148148,0,0,0.0,0.29814239699997197,4,1,1,0.4,4,2,5.8,4,10,4.75
3,3237,2513,,0.22727272727272727,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0.028148148148148148,0,0,0.0,0.372677996249965,5,1,3,0.4,5,2,8.8,5,10,4.75
3,3237,457,,0.23809523809523808,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0.028148148148148148,1,0,0.23809523809523808,0.3892494720807615,5,1,3,0.4,5,2,8.8,5,10,4.75
3,3484,1783,,0.11764705882352941,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0.03111111111111111,0,0,0.0,0.23904572186687872,4,0,3,0.0,4,2,6.8,4,9,3.5
3,3484,1941,,0.1,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0.03111111111111111,0,1,0.0,0.18257418583505536,2,0,1,0.0,2,2,2.8,2,9,3.5
3,3484,2513,,0.2222222222222222,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0.03111111111111111,0,0,0.0,0.3651483716701107,4,0,3,0.0,4,2,6.8,4,9,3.5
3,3484,457,,0.23529411764705882,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0.03111111111111111,1,0,0.23529411764705882,0.38138503569823695,4,0,3,0.0,4,2,6.8,4,9,3.5
3,3732,1783,,0.11627906976744186,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0.013333333333333332,0,0,0.0,0.21128856368212912,5,0,0,0.0,5,2,4.3,2,10,1.75
3,3732,1941,,0.14285714285714285,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0.013333333333333332,1,0,0.0,0.2581988897471611,4,0,0,0.0,4,2,3.3,2,10,1.75
3,3732,2513,,0.06666666666666667,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0.013333333333333332,0,0,0.0,0.12909944487358055,2,0,0,0.0,2,2,1.8,2,10,1.75
3,3732,457,,0.03333333333333333,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0.013333333333333332,0,1,0.03333333333333333,0.06741998624632421,1,0,0,0.0,1,2,0.3,1,10,1.75
3,3737,1783,,0.08571428571428572,0.12756892230576442,0.5102756892230577,1.0,2.75,0.0016533815742363423,0.024444444444444446,0,1,0.0,0.17928429140015903,3,0,2,0.0,3,2,5.8,3,9,2.75
