usuario,hotel_recomendado,propiedad,hotel_consumido,attribute_popularity,attribute_popularity_rank,inverse_popularity,commonality_score
3,2344,has_category:Beauty & Spas,,1,0.0,1.0,0
3,2344,has_category:American (New),,1,0.0,1.0,0
3,2344,has_category:Museums,,2,0.8045977011494253,0.5,0
3,2344,has_category:Day Spas,,1,0.0,1.0,0
3,2344,has_category:Resorts,,1,0.0,1.0,0
3,2344,has_category:Performing Arts,,1,0.0,1.0,0
3,2344,has_category:Venues & Event Spaces,,1,0.0,1.0,0
3,2344,has_category:Restaurants,,2,0.8045977011494253,0.5,0
3,2344,has_category:Event Planning & Services,,2,0.8045977011494253,0.5,0
3,2344,has_category:Convenience Stores,,1,0.0,1.0,0
3,2344,has_category:Cinema,,1,0.0,1.0,0
3,2344,has_category:Arts & Entertainment,,2,0.8045977011494253,0.5,0
3,2344,has_category:Food,,1,0.0,1.0,0
3,2344,has_attribute:GoodForKids=True,,2,0.8045977011494253,0.5,0
3,2344,has_attribute:BusinessAcceptsCreditCards=True,,3,0.9195402298850575,0.3333333333333333,0
3,2344,has_attribute:BYOBCorkage=no,,1,0.0,1.0,0
3,2344,has_attribute:GoodForDancing=False,,1,0.0,1.0,0
3,2344,has_attribute:CoatCheck=True,,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsTableService=True,,1,0.0,1.0,0
3,2344,has_attribute:HasTV=True,,1,0.0,1.0,0
3,2344,has_attribute:BYOB=True,,1,0.0,1.0,0
3,2344,has_attribute:ByAppointmentOnly=True,,1,0.0,1.0,0
3,2344,has_attribute:Alcohol=full_bar,,1,0.0,1.0,0
3,2344,has_attribute:BusinessAcceptsBitcoin=False,,1,0.0,1.0,0
3,2344,has_attribute:WiFi=paid,,1,0.0,1.0,0
3,2344,has_attribute:HappyHour=True,,1,0.0,1.0,0
3,2344,"has_attribute:Music={dj: True, background_music: True, no_music: False, jukebox: False, live: True, video: False, karaoke: True}",,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsPriceRange2=3,,1,0.0,1.0,0
3,2344,"has_attribute:Ambience={romantic: False, intimate: False, touristy: True, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False}",,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsGoodForGroups=True,,1,0.0,1.0,0
3,2344,"has_attribute:BestNights={monday: False, tuesday: False, friday: True, wednesday: False, thursday: False, sunday: True, saturday: True}",,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsReservations=True,,2,0.8045977011494253,0.5,0
3,2344,has_attribute:DogsAllowed=False,,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsAttire=casual,,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsDelivery=True,,1,0.0,1.0,0
3,2344,has_attribute:OutdoorSeating=True,,1,0.0,1.0,0
3,2344,"has_attribute:BusinessParking={garage: False, street: False, validated: False, lot: True, valet: False}",,1,0.0,1.0,0
3,2344,has_attribute:NoiseLevel=very_loud,,1,0.0,1.0,0
3,2344,has_attribute:RestaurantsTakeOut=True,,1,0.0,1.0,0
3,2344,"has_attribute:GoodForMeal={dessert: False, latenight: True, lunch: True, dinner: True, brunch: False, breakfast: False}",,1,0.0,1.0,0
3,2344,has_attribute:WheelchairAccessible=True,,1,0.0,1.0,0
3,2344,has_attribute:Caters=True,,1,0.0,1.0,0
3,2344,has_attribute:Smoking=outdoor,,1,0.0,1.0,0
3,2344,has_name:Gaylord Opryland Resort & Convention Center,,1,0.0,1.0,0
3,2344,has_rating:3.0 stars,,2,0.8045977011494253,0.5,0
3,2344,"has_coordinates:(36.2116, -86.6943)",,1,0.0,1.0,0
3,2344,has_postal_code:37214,,1,0.0,1.0,0
3,2344,located_in_city:Nashville,,1,0.0,1.0,0
3,2344,status:open,,5,0.9885057471264368,0.2,0
3,2344,has_review_count:1639 reviews,,1,0.0,1.0,0
3,25,status:open,,5,0.9811320754716981,0.2,0
3,25,located_in_city:New Orleans,,1,0.0,1.0,0
3,25,has_postal_code:70116,,1,0.0,1.0,0
3,25,has_category:Religious Organizations,,1,0.0,1.0,0
3,25,has_category:Public Services & Government,,4,0.9245283018867925,0.25,0
3,25,has_category:Tours,,3,0.8490566037735849,0.3333333333333333,0
3,25,has_category:Churches,,1,0.0,1.0,0
3,25,has_category:Landmarks & Historical Buildings,,4,0.9245283018867925,0.25,0
3,25,"has_coordinates:(29.9580, -90.0637)",,1,0.0,1.0,0
3,25,has_review_count:201 reviews,,1,0.0,1.0,0
3,25,has_rating:4.5 stars,,3,0.8490566037735849,0.3333333333333333,0
3,25,in_state:LA,,1,0.0,1.0,0
3,25,has_name:Cathedral-Basilica of St. Louis King of France,,1,0.0,1.0,0
3,25,has_attribute:ByAppointmentOnly=False,,2,0.7924528301886793,0.5,0
3,2557,has_review_count:947 reviews,,1,0.0,1.0,0
3,2557,in_state:IN,,1,0.0,1.0,0
3,2557,located_in_city:Indianapolis,,1,0.0,1.0,0
3,2557,has_category:Transportation,,1,0.0,1.0,0
3,2557,has_category:Airports,,1,0.0,1.0,0
3,2557,has_category:Airlines,,1,0.0,1.0,0
3,2557,has_category:Car Rental,,1,0.0,1.0,0
3,2557,has_attribute:ByAppointmentOnly=False,,2,0.7857142857142857,0.5,0
3,2557,has_attribute:WiFi=free,,3,0.875,0.3333333333333333,0
3,2557,"has_attribute:BusinessParking={garage: False, street: False, validated: False, lot: False, valet: False}",,1,0.0,1.0,0
3,2557,status:open,,5,0.9821428571428571,0.2,0
3,2557,has_postal_code:46241,,1,0.0,1.0,0
3,2557,has_name:Indianapolis International Airport - IND,,1,0.0,1.0,0
3,2557,"has_coordinates:(39.7149, -86.2975)",,1,0.0,1.0,0
3,2557,has_rating:4.0 stars,,2,0.7857142857142857,0.5,0
3,2617,has_postal_code:37203,,1,0.0,1.0,0
3,2617,has_category:Event Planning & Services,,2,0.75,0.5,0
3,2617,has_attribute:BusinessAcceptsCreditCards=True,,3,0.8461538461538461,0.3333333333333333,0
3,2617,has_attribute:WiFi=free,,3,0.8461538461538461,0.3333333333333333,0
3,2617,has_attribute:RestaurantsPriceRange2=2,,2,0.75,0.5,0
3,2617,has_attribute:DogsAllowed=True,,1,0.0,1.0,0
