usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,ratio_propiedades_compartidas,cobertura_tipos_propiedades,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,mrr,hit_rate,map,diversidad_tipos_shannon,novedad_threshold_2,serendipia,consistencia_tipos,peso_ponderado_perfil,jaccard_similarity,balance_tipos_gini,riqueza_explicativa
35,1702,2989,7,0.5,6,1.0,0.06666666666666667,0.125,0.8160760013970175,1.0,1.0,1.0,2.5216406363433186,0.5714285714285714,0.0,1.0,0.8947368421052632,0.09333333333333334,0.8809523809523809,0.916515138991168
35,1940,4326,5,0.2777777777777778,3,1.0,0.06666666666666667,0.125,0.9195495553061589,1.0,1.0,1.0,1.3709505944546687,0.4,0.0,1.0,0.9333333333333333,0.06666666666666667,0.7333333333333332,0.5477225575051661
35,1940,5767,3,0.3,3,1.0,0.04,0.07692307692307693,0.7076553232957626,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.6,0.04,1.0,0.4242640687119285
35,1940,2344,14,0.27450980392156865,3,1.0,0.06666666666666667,0.125,0.8389776660073724,1.0,1.0,1.0,0.9463729359854419,0.7857142857142857,0.0,1.0,0.6875,0.18666666666666668,0.5238095238095237,0.916515138991168
35,1940,2989,6,0.42857142857142855,4,1.0,0.06666666666666667,0.125,0.8341141077193078,1.0,1.0,1.0,1.7924812503605778,0.5,0.0,1.0,0.8235294117647058,0.08,0.75,0.6928203230275508
35,1960,4326,7,0.3888888888888889,3,1.0,0.06666666666666667,0.125,1.0,1.0,1.0,1.0,1.3787834934861753,0.42857142857142855,0.0,1.0,1.0,0.09333333333333334,0.7142857142857142,0.648074069840786
35,1960,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1960,2344,11,0.21568627450980393,6,1.0,0.06666666666666667,0.125,0.8389776660073724,1.0,1.0,1.0,2.2221915755066783,0.6363636363636364,0.0,1.0,0.8148148148148148,0.14666666666666667,0.6515151515151516,1.0
35,1960,2989,6,0.42857142857142855,3,1.0,0.06666666666666667,0.125,0.9942646540427001,1.0,1.0,1.0,1.2516291673878228,0.3333333333333333,0.0,1.0,0.9411764705882353,0.08,0.6666666666666665,0.6
35,1963,4326,10,0.5555555555555556,6,1.0,0.06666666666666667,0.125,0.8986776544421418,1.0,1.0,1.0,2.321928094887362,0.6,0.0,1.0,1.0,0.13333333333333333,0.7000000000000002,1.0
35,1963,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1963,2344,17,0.3333333333333333,4,1.0,0.06666666666666667,0.125,0.8658027373686839,1.0,1.0,1.0,1.2772018112022603,0.7647058823529411,0.0,1.0,0.8285714285714286,0.22666666666666666,0.4852941176470589,1.0
35,1963,2989,7,0.5,5,1.0,0.06666666666666667,0.125,0.9290814371994273,1.0,1.0,1.0,2.1280852788913944,0.42857142857142855,0.0,1.0,1.0,0.09333333333333334,0.7714285714285714,0.8366600265340756
35,24,4326,3,0.16666666666666666,2,1.0,0.04,0.07692307692307693,0.908465248289621,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.9,0.04,0.8333333333333333,0.3464101615137754
35,24,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,24,2344,16,0.3137254901960784,6,1.0,0.06666666666666667,0.125,0.7698986984637216,1.0,1.0,1.0,1.9197367178034825,0.875,0.0,1.0,0.6470588235294118,0.21333333333333335,0.5208333333333335,1.0
