usuario,hotel_recomendado,propiedad,hotel_consumido,relation_type,semantic_group,type_specific_match_frequency,relation_weight,weighted_type_match_score
3,45,,,has_name,identity,0.0,0.5,5.466666666666667
3,45,,,has_postal_code,location,0.0,1.0,5.466666666666667
3,473,,,has_category,category,0.175,2.0,1.4595238095238097
3,473,,,has_attribute,attribute,0.05952380952380952,1.0,1.4595238095238097
3,473,,,has_rating,quality,0.5,1.5,1.4595238095238097
3,473,,,has_review_count,quality,0.0,0.8,1.4595238095238097
3,473,,,status,identity,1.0,0.3,1.4595238095238097
3,473,,,has_name,identity,0.0,0.5,1.4595238095238097
3,473,,,located_in_city,location,0.0,3.0,1.4595238095238097
3,473,,,has_coordinates,location,0.0,1.0,1.4595238095238097
3,473,,,has_postal_code,location,0.0,1.0,1.4595238095238097
3,473,,,in_state,location,0.0,2.5,1.4595238095238097
3,4825,,,located_in_city,location,0.75,3.0,6.341666666666667
3,4825,,,has_attribute,attribute,0.4166666666666667,1.0,6.341666666666667
3,4825,,,has_postal_code,location,0.0,1.0,6.341666666666667
3,4825,,,status,identity,1.0,0.3,6.341666666666667
3,4825,,,has_category,category,0.25,2.0,6.341666666666667
3,4825,,,has_name,identity,0.0,0.5,6.341666666666667
3,4825,,,has_review_count,quality,0.0,0.8,6.341666666666667
3,4825,,,has_rating,quality,0.25,1.5,6.341666666666667
3,4825,,,has_coordinates,location,0.0,1.0,6.341666666666667
3,4825,,,in_state,location,1.0,2.5,6.341666666666667
3,4830,,,has_name,identity,0.0,0.5,5.425
3,4830,,,in_state,location,1.0,2.5,5.425
3,4830,,,has_attribute,attribute,0.375,1.0,5.425
3,4830,,,located_in_city,location,0.75,3.0,5.425
3,4830,,,has_postal_code,location,0.0,1.0,5.425
3,4830,,,has_category,category,0.0,2.0,5.425
3,4830,,,has_rating,quality,0.0,1.5,5.425
3,4830,,,has_coordinates,location,0.0,1.0,5.425
3,4830,,,has_review_count,quality,0.0,0.8,5.425
3,4830,,,status,identity,1.0,0.3,5.425
3,4942,,,has_category,category,0.125,2.0,6.925
3,4942,,,has_name,identity,0.0,0.5,6.925
3,4942,,,status,identity,1.0,0.3,6.925
3,4942,,,located_in_city,location,0.75,3.0,6.925
3,4942,,,has_attribute,attribute,0.5,1.0,6.925
3,4942,,,has_postal_code,location,0.75,1.0,6.925
3,4942,,,has_review_count,quality,0.0,0.8,6.925
3,4942,,,has_rating,quality,0.25,1.5,6.925
3,4942,,,has_coordinates,location,0.0,1.0,6.925
3,4942,,,in_state,location,1.0,2.5,6.925
3,4990,,,has_attribute,attribute,0.11538461538461539,1.0,3.4014957264957264
3,4990,,,has_category,category,0.05555555555555555,2.0,3.4014957264957264
3,4990,,,status,identity,1.0,0.3,3.4014957264957264
3,4990,,,has_review_count,quality,0.0,0.8,3.4014957264957264
3,4990,,,has_coordinates,location,0.0,1.0,3.4014957264957264
3,4990,,,located_in_city,location,0.0,3.0,3.4014957264957264
3,4990,,,has_postal_code,location,0.0,1.0,3.4014957264957264
3,4990,,,in_state,location,1.0,2.5,3.4014957264957264
3,4990,,,has_rating,quality,0.25,1.5,3.4014957264957264
3,4990,,,has_name,identity,0.0,0.5,3.4014957264957264
3,5061,,,in_state,location,0.0,2.5,1.05
3,5061,,,has_category,category,0.125,2.0,1.05
3,5061,,,has_name,identity,0.0,0.5,1.05
3,5061,,,status,identity,1.0,0.3,1.05
3,5061,,,has_coordinates,location,0.0,1.0,1.05
3,5061,,,has_postal_code,location,0.0,1.0,1.05
3,5061,,,has_review_count,quality,0.0,0.8,1.05
3,5061,,,has_attribute,attribute,0.125,1.0,1.05
3,5061,,,located_in_city,location,0.0,3.0,1.05
3,5061,,,has_rating,quality,0.25,1.5,1.05
3,522,,,status,identity,1.0,0.3,0.55
3,522,,,has_review_count,quality,0.0,0.8,0.55
3,522,,,has_category,category,0.0,2.0,0.55
3,522,,,has_rating,quality,0.0,1.5,0.55
3,522,,,has_name,identity,0.0,0.5,0.55
3,522,,,located_in_city,location,0.0,3.0,0.55
3,522,,,has_coordinates,location,0.0,1.0,0.55
3,522,,,has_attribute,attribute,0.25,1.0,0.55
3,522,,,in_state,location,0.0,2.5,0.55
3,522,,,has_postal_code,location,0.0,1.0,0.55
3,5605,,,has_attribute,attribute,0.2,1.0,0.75
3,5605,,,located_in_city,location,0.0,3.0,0.75
3,5605,,,has_category,category,0.125,2.0,0.75
3,5605,,,has_coordinates,location,0.0,1.0,0.75
3,5605,,,has_rating,quality,0.0,1.5,0.75
3,5605,,,status,identity,1.0,0.3,0.75
3,5605,,,has_review_count,quality,0.0,0.8,0.75
3,5605,,,has_name,identity,0.0,0.5,0.75
3,5605,,,in_state,location,0.0,2.5,0.75
3,5605,,,has_postal_code,location,0.0,1.0,0.75
3,5855,,,has_category,category,0.25,2.0,0.8
3,5855,,,has_name,identity,0.0,0.5,0.8
3,5855,,,in_state,location,0.0,2.5,0.8
3,5855,,,status,identity,1.0,0.3,0.8
3,5855,,,has_review_count,quality,0.0,0.8,0.8
3,5855,,,has_attribute,attribute,0.0,1.0,0.8
3,5855,,,located_in_city,location,0.0,3.0,0.8
3,5855,,,has_postal_code,location,0.0,1.0,0.8
3,5855,,,has_rating,quality,0.0,1.5,0.8
3,5855,,,has_coordinates,location,0.0,1.0,0.8
3,774,,,has_category,category,0.5,2.0,2.175
3,774,,,has_review_count,quality,0.0,0.8,2.175
3,774,,,status,identity,1.0,0.3,2.175
3,774,,,in_state,location,0.0,2.5,2.175
3,774,,,has_name,identity,0.0,0.5,2.175
3,774,,,has_attribute,attribute,0.125,1.0,2.175
3,774,,,has_rating,quality,0.5,1.5,2.175
3,774,,,has_postal_code,location,0.0,1.0,2.175
3,774,,,located_in_city,location,0.0,3.0,2.175
3,774,,,has_coordinates,location,0.0,1.0,2.175
3,888,,,has_category,category,0.125,2.0,0.6823529411764706
3,888,,,has_attribute,attribute,0.1323529411764706,1.0,0.6823529411764706
3,888,,,has_coordinates,location,0.0,1.0,0.6823529411764706
3,888,,,has_rating,quality,0.0,1.5,0.6823529411764706
3,888,,,located_in_city,location,0.0,3.0,0.6823529411764706
3,888,,,status,identity,1.0,0.3,0.6823529411764706
3,888,,,has_name,identity,0.0,0.5,0.6823529411764706
3,888,,,has_review_count,quality,0.0,0.8,0.6823529411764706
